beat_id,rank,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B073,1,pexels,32633527,winding river sunrise aerial,0.13950386211276056,-0.005496137887239461,3840,2160,41.0,Tom Fisk,https://www.pexels.com/video/stunning-sunrise-over-misty-river-landscape-32633527/,B073_PEXELS_32633527.mp4,downloaded,
B073,2,pexels,6853277,forest river morning drone,0.13145794212818146,-0.04854205787181856,3840,2160,33.0,Tom Fisk,https://www.pexels.com/video/aerial-view-of-a-long-river-6853277/,B073_PEXELS_6853277.mp4,downloaded,
B074,1,pexels,11253955,back view walking dawn,0.14085644572973252,0.17085644572973252,3840,2160,41.0,Atif Dar,https://www.pexels.com/video/man-walking-on-sidewalk-during-sunrise-11253955/,B074_PEXELS_11253955.mp4,downloaded,
B075,1,pexels,19175289,soft sunrise clouds wide,0.13116455018520357,0.16116455018520356,3840,2160,31.0,Magda Ehlers,https://www.pexels.com/video/a-view-of-the-sky-from-an-airplane-19175289/,B075_PEXELS_19175289.mp4,downloaded,
B075,2,pexels,4288029,soft sunrise clouds wide,0.1537956090271473,-0.02620439097285271,3840,2160,22.0,K,https://www.pexels.com/video/drone-shot-of-the-mountain-peak-during-sunset-4288029/,B075_PEXELS_4288029.mp4,downloaded,
B076,1,pexels,8627224,ripples settling sunrise,0.13398818537592888,-0.08101181462407114,3840,2160,97.0,Tom Fisk,https://www.pexels.com/video/ripples-on-water-surface-8627224/,B076_PEXELS_8627224.mp4,downloaded,
B077,1,pexels,10012742,mountain river morning drone,0.14455888563394548,0.16975888563394548,1920,1080,9.0,Анастасия Воробьёва,https://www.pexels.com/video/drone-shot-of-river-in-valley-10012742/,B077_PEXELS_10012742.mp4,downloaded,
B077,2,pexels,33185358,mountain river morning drone,0.15254113204777242,-0.062458867952227604,3840,2160,21.0,K,https://www.pexels.com/video/aerial-drone-view-over-serene-mountain-lake-33185358/,B077_PEXELS_33185358.mp4,downloaded,
B079,1,pexels,28900455,wooden bridge river morning,0.1395613584071398,0.1695613584071398,3840,2160,15.0,Mirza  Muneeb,https://www.pexels.com/video/serene-rural-landscape-with-wooden-bridge-28900455/,B079_PEXELS_28900455.mp4,downloaded,
B079,2,pexels,31807935,forest trail sunrise,0.14137380305677652,0.06637380305677651,3840,2160,49.0,Matthias Groeneveld,https://www.pexels.com/video/tranquil-sunlight-through-forest-trees-at-dawn-31807935/,B079_PEXELS_31807935.mp4,downloaded,
B080,1,pexels,6499047,peaceful stream warm light,0.15081257313489915,0.18081257313489915,3840,2160,120.0,Brixiv,https://www.pexels.com/video/close-up-shot-of-flowing-water-6499047/,B080_PEXELS_6499047.mp4,downloaded,
B080,2,pexels,5814479,river reflections sunrise,0.13433034366369248,0.16433034366369248,1920,1080,15.0,Videogrammer .com,https://www.pexels.com/video/golden-sunlight-reflected-on-the-water-5814479/,B080_PEXELS_5814479.mp4,downloaded,
