beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B080,1,online,pexels:29136253,pexels,29136253,river valley drone morning,0.13277804978191854,0.16277804978191854,3840,2160,89.0,Sergey Guk,https://www.pexels.com/video/breathtaking-view-of-albanian-mountains-at-sunrise-29136253/,B080_PEXELS_29136253.mp4,downloaded,
B080,2,online,pexels:2878082,pexels,2878082,river valley drone morning,0.1315148574858904,0.021514857485890382,3840,2160,30.0,K,https://www.pexels.com/video/aerial-view-of-a-beautiful-landscape-with-reflection-of-the-sun-on-the-river-2878082/,B080_PEXELS_2878082.mp4,downloaded,
B081,1,online,pexels:3933865,pexels,3933865,back view forest golden morning,0.13866007593274116,0.16866007593274115,1920,1080,63.0,Julien Aldeguer,https://www.pexels.com/video/slow-motion-provence-chaussures-marcher-3933865/,B081_PEXELS_3933865.mp4,downloaded,
B081,2,online,pexels:29041759,pexels,29041759,back view forest golden morning,0.13749047443270684,0.16189047443270682,3840,2160,8.0,Bofforss,https://www.pexels.com/video/woman-walking-in-autumnal-forest-park-29041759/,B081_PEXELS_29041759.mp4,downloaded,
B082,1,online,pexels:7716998,pexels,7716998,forest stream golden morning,0.15751372516155243,0.11751372516155242,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/water-flowing-in-the-river-7716998/,B082_PEXELS_7716998.mp4,downloaded,
B082,2,online,pexels:7919065,pexels,7919065,forest stream golden morning,0.14001757852733135,0.06501757852733134,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/water-flowing-on-a-forest-river-7919065/,B082_PEXELS_7919065.mp4,downloaded,
B083,1,online,pexels:19804747,pexels,19804747,forest river aerial golden morning,0.1802996053248644,0.20949960532486436,3840,2160,14.0,Sergei Garenko,https://www.pexels.com/video/sunset-golden-hour-over-the-river-19804747/,B083_PEXELS_19804747.mp4,downloaded,
B083,2,online,pexels:31814126,pexels,31814126,forest river aerial golden morning,0.17790659978985787,0.20790659978985787,3840,2160,87.0,Tom Schönmann,https://www.pexels.com/video/stunning-aerial-view-of-serene-river-at-sunset-31814126/,B083_PEXELS_31814126.mp4,downloaded,
B084,1,online,pexels:6093382,pexels,6093382,forest trail golden morning,0.14927548184990883,0.004275481849908808,3840,2160,23.0,K,https://www.pexels.com/video/a-video-footage-of-forest-trees-6093382/,B084_PEXELS_6093382.mp4,downloaded,
B084,2,online,pexels:31808050,pexels,31808050,forest trail golden morning,0.13258523479104042,-0.2240147652089596,3840,2160,13.0,Matthias Groeneveld,https://www.pexels.com/video/tranquil-forest-path-in-morning-light-31808050/,B084_PEXELS_31808050.mp4,downloaded,
B085,1,online,pexels:31986473,pexels,31986473,forest river aerial golden morning,0.1496942022442818,0.1796942022442818,3840,2160,16.0,Christopher Borges,https://www.pexels.com/video/sunrise-with-mist-over-foggy-river-31986473/,B085_PEXELS_31986473.mp4,downloaded,
B085,2,online,pexels:34445262,pexels,34445262,river valley drone morning,0.14337607711553574,0.17337607711553574,3840,2160,25.0,Septimiu Lupea,https://www.pexels.com/video/scenic-sunrise-over-serene-river-valley-34445262/,B085_PEXELS_34445262.mp4,downloaded,
B013,1,online,,pexels,5386138,person praying outdoors sunrise,0.16455918714404105,0.19455918714404105,4096,2160,23.0,cottonbro studio,https://www.pexels.com/video/a-monk-praying-outdoors-5386138/,B013_PEXELS_5386138.mp4,downloaded,
B013,2,online,,pixabay,174860,silhouette beside river dawn,0.1458813776820898,0.18588137768208982,3840,2160,28.0,Alex_Sochi7777,https://pixabay.com/videos/id-174860/,B013_PIXABAY_174860.mp4,downloaded,
B044,2,online,,pixabay,189813,birds forest warm sunrise,0.1396646262705326,0.17966462627053262,3840,2160,23.0,Matthias_Groeneveld,https://pixabay.com/videos/id-189813/,B044_PIXABAY_189813.mp4,downloaded,
B066,1,online,,pexels,34023415,birds crossing valley dawn,0.16236704558879136,0.19076704558879135,3840,2160,13.0,Santhosh Peddi,https://www.pexels.com/video/stunning-foggy-landscape-aerial-at-sunrise-34023415/,B066_PEXELS_34023415.mp4,downloaded,
B066,2,online,,pixabay,203449,lone traveler forest morning,0.14911700585857035,0.18911700585857036,3840,2160,15.0,JoshuaWoroniecki,https://pixabay.com/videos/id-203449/,B066_PIXABAY_203449.mp4,downloaded,
B068,1,online,,pexels,32564405,single bird branch morning,0.15334844678640366,0.18334844678640366,3840,2160,25.0,Đào Thân,https://www.pexels.com/video/bird-perched-on-branch-in-lush-greenery-32564405/,B068_PEXELS_32564405.mp4,downloaded,
B068,2,online,,pixabay,357054,sparrow tree sunrise,0.14131992374360564,0.17971992374360563,3840,2160,13.0,BlenderTimer,https://pixabay.com/videos/id-357054/,B068_PIXABAY_357054.mp4,downloaded,
B070,2,online,,pixabay,106600,ferns morning breeze,0.1392630183696747,0.1792630183696747,4096,2160,15.0,CLEARSTREAMFILM,https://pixabay.com/videos/id-106600/,B070_PIXABAY_106600.mp4,downloaded,
B074,1,online,,pexels,13220686,sunlit forest path wide,0.17906359672546387,0.20906359672546387,3840,2160,83.0,Dmitry Marchenkov,https://www.pexels.com/video/trees-and-branches-in-forest-13220686/,B074_PEXELS_13220686.mp4,downloaded,
B074,2,online,,pixabay,282995,footsteps forest trail sunrise,0.15567754128575326,0.19487754128575324,3840,2160,14.0,Matthias_Groeneveld,https://pixabay.com/videos/id-282995/,B074_PIXABAY_282995.mp4,downloaded,
